x,y,z,T,label
0.999765336914344,0.9628948017162776,0.5804382972028448,298.05934707094934,4
0.9706980243949032,0.6641806025023445,0.9855401694949262,300.3189070050628,0
0.0449106193923289,0.6523523018804156,0.8533694593423667,300.5844332115289,0
0.3262383621640567,0.4942851521231903,0.729780767043792,306.4122986995399,2
0.4885840453515333,0.6861307865957741,0.5945676088908644,299.88231209088696,0
0.2578940091477941,0.0222468880513503,0.7135866099074174,312.5817476474836,3
0.7002651020022491,0.9004420880425483,0.0489637098232792,298.14801244610345,0
0.2416995979811309,0.0464581316135535,0.9369072881309536,313.79954623122813,3
0.4031402041190819,0.0802941562924593,0.4100487869149942,315.3299701863451,1
0.9766640782165892,0.1029098965065037,0.8666088321536725,316.2008335337226,1
0.5026793247960669,0.909402120216883,0.6105220042138247,298.13044789445894,4
0.3709222838624387,0.8498879722945331,0.0092597818211234,298.29293296287915,0
0.6535398256936433,0.2377805866164674,0.0777446669250421,317.71655318864214,1
0.0321490878028501,0.5081727297958716,0.614736744188289,305.7371078861632,2
0.4725559833368571,0.4820850074067188,0.6034059574876086,307.02512865498653,2
0.7936353838623774,0.2771995116898818,0.9492935230092574,316.8428706500716,1
0.6167561790773091,0.4472557488593905,0.882825566034078,308.85231281685,1
0.0638172561041753,0.8428716727279727,0.3464928613130488,298.32074540467323,0
0.8794117334876851,0.9898375383939376,0.2043595452116388,298.039058252359,4
0.926670488081282,0.0021173056999352,0.7103591920228293,311.51981877784533,3
0.2025224079241859,0.2318378573407505,0.8466710505082435,317.7982941896932,1
0.0005681292589444,0.5155872860982841,0.5503235056976393,305.38742272237425,2
0.4143537719943613,0.0194944734436304,0.5042193555377686,312.43866708946035,3
0.6197193893796402,0.5060777374562012,0.0425518176467765,305.8373162435953,2
0.1256638528685359,0.4743227493563205,0.908608246555642,307.4234622677722,1
0.4389114603050467,0.5272501574956479,0.7805811375265843,304.8538162761419,0
0.0528071014001103,0.1129644789583912,0.1410272999500146,316.540925061294,1
0.9500610946244372,0.0023093994216638,0.3783180142237856,311.530096006529,1
0.6322828130302102,0.4133949409618722,0.235256388415645,310.68421447045347,1
0.7278432989687184,0.0787616706587397,0.2576126161820364,315.2660983944845,1
0.3350468775051347,0.0237438418237851,0.0395602083901918,312.65922661956745,3
0.9662319121431816,0.6939208475818248,0.3961665000592489,299.7439527579605,0
0.7102452013359866,0.3052425336708942,0.2409271164143122,315.9030728304502,1
0.7649988574160256,0.5438545059553842,0.0848115912357631,304.131093143566,0
0.1016719029037159,0.5124115658992863,0.6845620733936773,305.53623264898056,0
0.9920420055280548,0.223036446460113,0.3964362353648121,317.894145548392,1
0.1372112577906123,0.4483776857953492,0.8564096306557393,308.792133893268,1
0.9168484076291956,0.2923763514024683,0.836613041032693,316.3641128321176,1
0.2751525256017133,0.1421985672867044,0.2547283501174674,317.342837914017,1
0.935937499435726,0.4044848012533745,0.1282932585111201,311.16539681447534,1
0.2452589730232096,0.1324035886607898,0.3920600224154432,317.10670891160555,1
0.0218313916458116,0.0180649449426341,0.6562296481050006,312.36405105840663,3
0.7449915257796885,0.0201996144210815,0.2383385293620601,312.4753975403691,1
0.8311126721249061,0.6581070759120216,0.0781083930803638,300.45250841476263,0
0.1653113233672911,0.0859801759685114,0.7081575538426351,315.56181724892554,1
0.7600149717440349,0.3397635046044789,0.7050281965241929,314.451125615766,1
0.7261801283839011,0.0262879951615276,0.4299570499000478,312.7903311604044,1
0.8750049422346086,0.9251371494168608,0.6087411288982467,298.1040892493436,0
